store_id,philly,after_tax_dummy,soda_quantity,soda_price,income_rescale,distance_border_outside
1,0,0,722633.4896773192,2.856048649951005,.57604969,2.6586313
1,0,1,704771.6916998969,3.082004143026683,.57604969,2.6586313
2,0,0,7182.768466069148,4.415120258855705,1.0569324,2.0022349
2,0,1,7592.831115129259,4.490780679219299,1.0569324,2.0022349
3,0,0,6505.230771138118,3.644062724698765,.97290313,6.8519192
3,0,1,5360.82890018887,3.838474875957602,.97290313,6.8519192
4,0,0,23260.22577513181,3.429815299092577,1.1506147,9.7136021
4,0,1,19414.96354264153,3.536391930271768,1.1506147,9.7136021
5,0,0,11757.18576500966,3.160033124767674,.99729836,4.0756717
5,0,1,16652.60666737027,3.245240510586235,.99729836,4.0756717
6,0,0,3455.315385671762,4.143871762288304,.93224323,3.7891858
6,0,1,3063.115557861328,4.349866453558207,.93224323,3.7891858
7,1,0,4434.479610589834,4.17993112691105,.29326585,0
7,1,1,3650.783997853597,5.640925051851405,.29326585,0
8,1,0,5110.028840688558,4.729868153647448,.71684057,0
8,1,1,3278.402251195695,5.983506723706212,.71684057,0
9,1,0,652605.7553114524,2.708064406940908,.33871958,0
9,1,1,205128.2314799415,4.943126913530351,.33871958,0
10,1,0,3837.634423989516,5.276000848863847,.3494505,0
10,1,1,3701.891551378038,6.71968352496624,.3494505,0
11,1,0,5944.038269776564,4.517675778076339,.14780471,0
11,1,1,4765.929994837443,5.976125187455263,.14780471,0
12,1,0,21894.32692986268,7.348466024286329,.11536022,0
12,1,1,18502.08889651828,8.956378162528077,.11536022,0
13,0,0,8787.620761211101,3.676822537914492,1.4241408,13.584249
13,0,1,6867.180890401204,3.771126934492754,1.4241408,13.584249
14,0,0,6846.841539969811,3.672303761498859,1.6005771,14.953048
14,0,1,4748.526226637098,3.695589188113809,1.6005771,14.953048
15,0,0,587720.2285180092,2.963937758751854,1.3216949,9.9456034
15,0,1,540436.3307352702,3.206396235131736,1.3216949,9.9456034
16,0,0,2839.809615281912,3.625423103427658,.96478832,6.7975802
16,0,1,2448.693331993951,3.879972187015746,.96478832,6.7975802
17,0,0,22226.25771067693,5.113020121657218,.6094377,1.6348108
17,0,1,17839.62445237902,5.299253589328792,.6094377,1.6348108
18,1,0,13564.20116373209,3.9764414768075,.63961631,0
18,1,1,8638.094880421957,5.541122236894929,.63961631,0
19,1,0,8544.30634704003,3.787864723708481,.3368555,0
19,1,1,6342.555769772,5.368106046808922,.3368555,0
20,0,0,311651.1416207827,2.798110463924016,.72358763,5.5368891
20,0,1,333035.0810204824,3.003375151255427,.72358763,5.5368891
21,0,0,17321.22077670464,3.622369808789629,.57607281,9.4226332
21,0,1,15563.54600050184,3.627328943657792,.57607281,9.4226332
22,1,0,6989.767295654004,4.079761426537656,.6867131,0
22,1,1,5329.130881415473,5.397087816604309,.6867131,0
23,0,0,11504.61345900022,5.633556683726895,.60411131,6.5273967
23,0,1,11219.67333963182,5.844937026314438,.60411131,6.5273967
24,0,0,14895.6769424952,5.18154598485965,.86182338,4.8780799
24,0,1,13201.1644469791,5.387257687312862,.86182338,4.8780799
25,0,0,9482.81191092271,3.352120044282996,.60411131,6.5273967
25,0,1,9195.297340647379,3.495959260583752,.60411131,6.5273967
26,1,0,8831.152698920323,4.714416070572602,.09993466,0
26,1,1,7918.155772315131,6.288691193030941,.09993466,0
27,1,0,105706.4961785537,2.352496687430315,.48017889,0
27,1,1,63710.76445210775,3.73459968968398,.48017889,0
28,0,0,10514.5950052188,5.342495735806342,.15383236,1.9547532
28,0,1,8632.196874258254,5.564622463948197,.15383236,1.9547532
29,0,0,7955.942306628594,4.934700042618295,.977117,6.3204427
29,0,1,7224.681334135267,5.0961044644523,.977117,6.3204427
30,0,0,473903.7525886389,3.03096921379172,1.0321156,13.023988
30,0,1,434220.8009366354,3.294481200146644,1.0321156,13.023988
31,1,0,12448.51923707815,3.935436200887824,.67675364,0
31,1,1,8377.126659605237,5.434788099593586,.67675364,0
32,1,0,3429.77154144874,4.779043044393452,.66661674,0
32,1,1,2922.111330032349,6.182640028331015,.66661674,0
33,0,0,25325.81903718068,2.768883284136581,.70679784,4.8775458
33,0,1,27412.62868796454,2.889390630523364,.70679784,4.8775458
34,1,0,9865.765383903798,5.795529303320039,.18023251,0
34,1,1,10272.79555714925,7.559607440978288,.18023251,0
35,0,0,8214.90576175543,4.355601384985046,1.0496622,3.6153886
35,0,1,8113.402223756579,4.525175222361254,1.0496622,3.6153886
36,0,0,105143.2119181706,2.989112316057659,1.0577362,12.75348
36,0,1,100351.5606808556,3.116623922672847,1.0577362,12.75348
