store_id,week,store_size,summer_dummy,price,sales
1,1,45.799999,0,2,6938
1,2,45.799999,0,2.5,6722
1,3,45.799999,0,1.5,6344
1,4,45.799999,0,1,6510
1,5,45.799999,0,1.5,6947
1,6,45.799999,0,2,6644
1,7,45.799999,0,1.5,6834
1,8,45.799999,0,2,6960
1,9,45.799999,0,1.5,6115
1,10,45.799999,0,2,6930
1,11,45.799999,0,2.5,6571
1,12,45.799999,0,1,7061
1,13,45.799999,0,2.5,6222
1,14,45.799999,0,1,6867
1,15,45.799999,0,1.5,6767
1,16,45.799999,0,2,6789
1,17,45.799999,0,1,7361
1,18,45.799999,0,2,6969
1,19,45.799999,0,2,6956
1,20,45.799999,0,2.5,6936
1,21,45.799999,0,1,7075
1,22,45.799999,1,3,7488
1,23,45.799999,1,2,7255
1,24,45.799999,1,2.5,6991
1,25,45.799999,1,1.5,7687
1,26,45.799999,1,1.5,7266
1,27,45.799999,1,3,7329
1,28,45.799999,1,3,7183
1,29,45.799999,1,2.5,6894
1,30,45.799999,1,1.5,7619
1,31,45.799999,1,1.5,7001
1,32,45.799999,1,2,7808
1,33,45.799999,1,3,6518
1,34,45.799999,1,2,7933
1,35,45.799999,0,2,6970
1,36,45.799999,0,2,6554
1,37,45.799999,0,2.5,6569
1,38,45.799999,0,2,6302
1,39,45.799999,0,2.5,6655
1,40,45.799999,0,1,7221
1,41,45.799999,0,2.5,6540
1,42,45.799999,0,1,6963
1,43,45.799999,0,1,6753
1,44,45.799999,0,1.5,7126
1,45,45.799999,0,1.5,6441
1,46,45.799999,0,2.5,6588
1,47,45.799999,0,2,6498
1,48,45.799999,0,2.5,6148
1,49,45.799999,0,1,7211
1,50,45.799999,0,1.5,7266
1,51,45.799999,0,2,7033
1,52,45.799999,0,2,6398
2,1,46.700001,0,2.5,6579
2,2,46.700001,0,1,6748
2,3,46.700001,0,1,7816
2,4,46.700001,0,1.5,6605
2,5,46.700001,0,1,7237
2,6,46.700001,0,1.5,6758
2,7,46.700001,0,2,7464
2,8,46.700001,0,1.5,7124
2,9,46.700001,0,1,6714
2,10,46.700001,0,2,7075
2,11,46.700001,0,2.5,6965
2,12,46.700001,0,2.5,7043
2,13,46.700001,0,2,6587
2,14,46.700001,0,2,7011
