lobbyist_id,semester_id,log_revenue,democrat_dummy,senate_connection_num
1,13,12.367341,0,0
1,14,11.0021,0,0
1,15,14.311274,0,0
1,16,14.136506,0,0
1,17,14.188266,0,0
1,18,14.292614,0,0
1,19,14.077875,0,0
1,20,14.301019,0,0
1,21,14.74373,0,0
1,22,14.962913,0,0
2,7,12.668233,1,1
2,8,11.849398,1,1
2,9,12.736701,1,1
2,10,12.99453,1,1
2,11,12.821259,1,1
2,12,12.779873,1,1
2,13,13.060488,1,1
2,14,12.89922,1,1
2,15,13.415033,1,1
2,16,13.038981,1,1
2,17,13.407542,1,1
2,18,13.423948,1,1
2,19,13.235692,1,1
2,20,13.279005,1,1
2,21,13.942803,1,1
2,22,13.857612,1,1
4,7,12.542545,0,0
4,8,11.695247,0,0
4,9,11.982929,0,0
4,10,12.676076,0,0
4,11,13.61706,0,0
4,12,13.270783,0,0
4,13,13.429848,0,0
4,14,13.687677,0,0
4,15,13.641157,0,0
4,16,13.61706,0,0
4,17,13.567049,0,0
4,18,13.337475,0,0
4,19,12.847926,0,0
4,20,13.081541,0,0
4,21,13.353476,0,0
4,22,13.883169,0,0
8,1,14.430696,1,1
8,2,14.837961,1,1
8,3,15.068274,1,1
8,4,14.652758,1,1
8,5,14.639686,1,1
8,6,14.9007,1,1
8,7,14.352004,1,0
8,8,14.279244,1,0
8,9,13.337475,1,0
8,10,13.997832,1,0
8,11,14.234221,1,0
8,12,14.557447,1,0
8,13,14.310206,1,0
8,14,14.297936,1,0
8,15,14.380824,1,0
8,16,14.403297,1,0
8,17,14.357835,1,0
8,18,14.357835,1,0
8,19,14.518608,1,0
8,20,13.873779,1,0
8,21,15.093663,1,0
8,22,15.142586,1,0
9,3,10.596635,1,1
9,4,10.308952,1,1
9,6,13.71015,1,1
9,7,9.9034872,1,1
11,11,10.596635,1,1
11,13,12.676076,1,1
11,14,12.611538,1,1
11,15,13.081541,1,0
11,16,12.94801,1,0
11,17,13.161584,1,1
11,18,13.081541,1,1
11,19,13.579788,1,1
11,20,13.429848,1,1
